Source,Station,Latitude,Longitude
EMP,EMP EZ2,38.1068,-121.7173
EMP,EMP EZ2,38.0582,-121.8693
EMP,EMP EZ2,38.0604,-121.7998
EMP,EMP EZ2,38.1125,-121.7081
EMP,EMP EZ2,38.1012,-121.726
EMP,EMP EZ2,38.1082,-121.7164
EMP,EMP EZ2,38.1231,-121.6987
EMP,EMP EZ2,38.1341,-121.6943
EMP,EMP EZ2,38.131100000000004,-121.6951
EMP,EMP EZ2,38.0556,-121.8762
EMP,EMP EZ2,38.0625,-121.8565
EMP,EMP EZ2,38.1185,-121.701
EMP,EMP EZ2,38.1223,-121.6996
EMP,EMP EZ2,38.1159,-121.706
EMP,EMP EZ2,38.1407,-121.6911
EMP,EMP EZ2,38.1123,-121.7091
EMP,EMP EZ2,38.1642,-121.679
EMP,EMP EZ2,38.1412,-121.6912
EMP,EMP EZ2,38.1387,-121.6924
EMP,EMP EZ2,38.1607,-121.683
EMP,EMP EZ2,38.1381,-121.6937
EMP,EMP EZ2,38.055,-121.953
EMP,EMP EZ2,38.0751,-121.7695
EMP,EMP EZ2,38.0607,-122.0013
EMP,EMP EZ2,38.0642,-121.7923
EMP,EMP EZ2,38.0655,-121.7891
EMP,EMP EZ2,38.0608,-121.7982
EMP,EMP EZ2,38.1279,-121.6965
EMP,EMP EZ2,38.1045,-121.7206
EMP,EMP EZ2,38.0913,-121.7384
EMP,EMP EZ2,38.0401,-122.1268
EMP,EMP EZ2,38.0534,-121.9406
EMP,EMP EZ2,38.0589,-121.8688
EMP,EMP EZ2,38.0648,-121.8347
EMP,EMP EZ2,38.0628,-121.8578
EMP,EMP EZ2,38.0625,-121.8178
EMP,EMP EZ2,38.0803,-121.76
EMP,EMP EZ2,38.082,-121.7557
EMP,EMP EZ2,38.0855,-121.7489
EMP,EMP EZ2,38.0622,-121.8208
EMP,EMP EZ2,38.0705,-121.7786
EMP,EMP EZ2,38.0647,-122.0349
EMP,EMP EZ2,38.0485,-121.8947
EMP,EMP EZ2,38.0607,-121.8605
EMP,EMP EZ2,38.0662,-121.7871
EMP,EMP EZ2,38.067,-121.7816
EMP,EMP EZ2,38.0864,-121.7468
EMP,EMP EZ2,38.1006,-121.726917
EMP,EMP EZ2,38.1574,-121.6852
EMP,EMP EZ2,38.0971,-121.7398
EMP,EMP EZ2,38.0611,-121.8118
EMP,EMP EZ2,38.0512,-122.0917
EMP,EMP EZ2,38.0552,-122.0753
EMP,EMP EZ2,38.0615,-122.0644
EMP,EMP EZ2,38.0614,-122.0181
EMP,EMP EZ2,38.0483,-121.8857
EMP,EMP EZ2,38.0627,-121.8167
EMP,EMP EZ2,38.0473,-121.8948
EMP,EMP EZ2,38.06452,-121.8448
EMP,EMP EZ2,38.0721,-121.7759
EMP,EMP EZ2,38.08959,-121.73796
EMP,EMP EZ2,38.077759,-121.76523
EMP,EMP EZ2,38.060079,-121.80036
EMP,EMP EZ2,38.07368,-121.773799
EMP,EMP EZ2,38.06143,-121.81368
EMP,EMP EZ2,38.06696,-121.783843
EMP,EMP EZ2,38.077275,-121.765405
EMP,EMP EZ2,38.104166,-121.720519
EMP,EMP EZ2,38.126833,-121.697266
EMP,EMP EZ2,38.09604,-121.7322
EMP,EMP EZ2,38.08507,-121.74816
EMP,EMP EZ2,38.11237,-121.710003
EMP,EMP EZ2,38.119466,-121.702505
EMP,EMP EZ2,38.131068,-121.69534
EMP,EMP EZ2,38.128043,-121.693155
EMP,EMP EZ2,38.122918,-121.69766
EMP,EMP EZ2,38.139115,-121.691355
EMP,EMP EZ2,38.098425,-121.729988
EMP,EMP EZ2-SJR,38.0753,-121.6777
EMP,EMP EZ2-SJR,38.0701,-121.6769
EMP,EMP EZ2-SJR,38.0541,-121.6885
EMP,EMP EZ2-SJR,38.0576,-121.6815
EMP,EMP EZ2-SJR,38.0688,-121.6778
EMP,EMP EZ2-SJR,38.0563,-121.6841
EMP,EMP EZ2-SJR,38.0482,-121.6932
EMP,EMP EZ2-SJR,38.0695,-121.6769
EMP,EMP EZ2-SJR,38.0969,-121.6691
EMP,EMP EZ2-SJR,38.0871,-121.6463
EMP,EMP EZ2-SJR,38.067,-121.6767
EMP,EMP EZ2-SJR,38.0691,-121.6783
EMP,EMP EZ2-SJR,38.0227,-121.7988
EMP,EMP EZ2-SJR,38.0479,-121.6937
EMP,EMP EZ2-SJR,38.0565,-121.685
EMP,EMP EZ2-SJR,38.0499,-121.6928
EMP,EMP EZ2-SJR,38.0279,-121.7481
EMP,EMP EZ2-SJR,38.0472,-121.6944
EMP,EMP EZ2-SJR,38.0262,-121.7792
EMP,EMP EZ2-SJR,38.0213,-121.8064
EMP,EMP EZ2-SJR,38.0363,-121.706
EMP,EMP EZ2-SJR,38.0523,-121.69015
EMP,EMP EZ2-SJR,38.0476,-121.6935
EMP,EMP EZ2-SJR,38.022825,-121.7934383
EMP,EMP EZ2-SJR,38.048365,-121.69404
EMP,EMP EZ2-SJR,38.021948,-121.807064
EMP,EMP EZ2-SJR,38.023519,-121.792511
EMP,EMP EZ2-SJR,38.029741,-121.734071
EMP,EMP EZ2-SJR,38.029611,-121.73094
EMP,EMP EZ2-SJR,38.03732,-121.705785
EMP,EMP EZ2-SJR,38.057063,-121.682638
EMP,EMP EZ2-SJR,38.057883,-121.681983
EMP,EMP EZ2-SJR,38.06115,-121.678678
EMP,EMP EZ2-SJR,38.030686,-121.731283
EMP,EMP EZ2-SJR,38.032085,-121.72593
EMP,EMP EZ2-SJR,38.031206,-121.729148
EMP,EMP EZ2-SJR,38.068776,-121.676246
EMP,EMP EZ2-SJR,38.07761,-121.67781
EMP,EMP EZ2-SJR,38.05285,-121.69022
EMP,EMP EZ2-SJR,38.040093,-121.701038
EMP,EMP EZ2-SJR,38.08708,-121.64324
EMP,EMP EZ2-SJR,38.029807,-121.735195
EMP,EMP EZ6,38.0542,-121.9473
EMP,EMP EZ6,38.0612,-122.0185
EMP,EMP EZ6,38.062,-122.0203
EMP,EMP EZ6,38.0577,-121.8777
EMP,EMP EZ6,38.0605,-121.8657
EMP,EMP EZ6,38.0625,-121.8205
EMP,EMP EZ6,38.0593,-121.867
EMP,EMP EZ6,38.0658,-121.7862
EMP,EMP EZ6,38.0628,-121.7917
EMP,EMP EZ6,38.0463,-121.9183
EMP,EMP EZ6,38.0466,-121.903
EMP,EMP EZ6,38.0599,-121.99
