model,contrast type,contrast,estimate,SE,df,t-ratio,p-value
Temperature,region,W Suisun Marsh - D North,-0.26925621207214695,0.15059777536863744,900,-1.7879162651178218,0.9028
Temperature,region,W Suisun Marsh - N North,0.655082074371206,0.16337169163378304,900,4.009764897578767,0.0058
Temperature,region,W Suisun Marsh - W North,1.2929544095564234,0.16939781423600017,900,7.632651078691703,< 0.001
Temperature,region,D Suisun Bay - N Suisun Bay,0.2218114122656702,0.14160896301614176,900,1.5663656278620324,0.9653
Temperature,region,D Suisun Bay - W Suisun Bay,0.4493439336206434,0.14852073339152905,900,3.0254626634254955,0.1456
Temperature,region,D Suisun Bay - D Confluence,-0.2409789772274913,0.12665890701093854,900,-1.9025821627110662,0.8517
Temperature,region,D Suisun Bay - N Confluence,-0.0411913804222913,0.1416089630161414,900,-0.2908811670176278,1
Temperature,region,D Suisun Bay - W Confluence,0.29627866921902457,0.14852073339152894,900,1.9948640331446357,0.8012
Temperature,region,D Suisun Bay - D SouthCentral,-1.3732852902490926,0.12665890701093854,900,-10.842390185243685,< 0.001
Temperature,region,D Suisun Bay - N SouthCentral,-0.7045605665695506,0.14160896301614143,900,-4.975395282636457,< 0.001
Temperature,region,D Suisun Bay - W SouthCentral,-0.42942515425930944,0.14852073339152924,900,-2.891348193974117,0.2022
Temperature,region,D Suisun Bay - D North,-0.18975225950890195,0.12665890701093846,900,-1.4981359304838677,0.9764
Temperature,region,D Suisun Bay - N North,0.7345860269344511,0.14160896301614137,900,5.187426073099052,< 0.001
Temperature,region,D Suisun Bay - W North,1.3724583621196684,0.14852073339152896,900,9.24085365577617,< 0.001
Temperature,region,N Suisun Bay - W Suisun Bay,0.22753252135497323,0.16145905960477755,900,1.4092273416674885,0.9865
Temperature,region,N Suisun Bay - D Confluence,-0.4627903894931615,0.141608963016142,900,-3.268086847302229,0.0748
Temperature,region,N Suisun Bay - N Confluence,-0.2630027926879615,0.15512484677771105,900,-1.6954266073496023,0.9344
Temperature,region,N Suisun Bay - W Confluence,0.07446725695335439,0.1614590596047776,900,0.46121448456120506,1
Temperature,region,N Suisun Bay - D SouthCentral,-1.5950967025147629,0.14160896301614215,900,-11.26409422497456,< 0.001
Temperature,region,N Suisun Bay - N SouthCentral,-0.9263719788352208,0.15512484677771113,900,-5.971783360809257,< 0.001
Temperature,region,N Suisun Bay - W SouthCentral,-0.6512365665249796,0.16145905960477777,900,-4.033447042978496,0.0053
Temperature,region,N Suisun Bay - D North,-0.41156367177457215,0.14160896301614204,900,-2.9063391399007554,0.1952
Temperature,region,N Suisun Bay - N North,0.5127746146687808,0.15512484677771105,900,3.3055608132433516,0.0669
Temperature,region,N Suisun Bay - W North,1.1506469498539982,0.1614590596047775,900,7.126555503733103,< 0.001
Temperature,region,W Suisun Bay - D Confluence,-0.6903229108481347,0.14852073339152905,900,-4.64799018348712,< 0.001
Temperature,region,W Suisun Bay - N Confluence,-0.4905353140429347,0.16145905960477744,900,-3.0381405369489727,0.141
Temperature,region,W Suisun Bay - W Confluence,-0.15306526440161886,0.1675539846410991,900,-0.913528047270764,0.9999
Temperature,region,W Suisun Bay - D SouthCentral,-1.8226292238697361,0.14852073339152938,900,-12.271884081429446,< 0.001
Temperature,region,W Suisun Bay - N SouthCentral,-1.153904500190194,0.16145905960477747,900,-7.146731208609435,< 0.001
Temperature,region,W Suisun Bay - W SouthCentral,-0.8787690878799529,0.16755398464109927,900,-5.244692268956043,< 0.001
Temperature,region,W Suisun Bay - D North,-0.6390961931295454,0.14852073339152916,900,-4.303077277734451,0.0017
Temperature,region,W Suisun Bay - N North,0.2852420933138076,0.16145905960477738,900,1.7666527602231101,0.9108
Temperature,region,W Suisun Bay - W North,0.9231144284990249,0.16755398464109902,900,5.5093552712359415,< 0.001
Temperature,region,D Confluence - N Confluence,0.19978759680519997,0.14160896301614162,900,1.4108400524225768,0.9863
Temperature,region,D Confluence - W Confluence,0.5372576464465159,0.14852073339152871,900,3.6173915532062666,0.0246
Temperature,region,D Confluence - D SouthCentral,-1.1323063130216013,0.12665890701093868,900,-8.93980802253261,< 0.001
Temperature,region,D Confluence - N SouthCentral,-0.46358158934205934,0.14160896301614184,900,-3.2736740631962413,0.0735
Temperature,region,D Confluence - W SouthCentral,-0.18844617703181818,0.14852073339152952,900,-1.268820673912493,0.9951
Temperature,region,D Confluence - D North,0.05122671771858932,0.12665890701093882,900,0.4044462322271986,1
Temperature,region,D Confluence - N North,0.9755650041619424,0.14160896301614176,900,6.88914729253924,< 0.001
Temperature,region,D Confluence - W North,1.6134373393471597,0.14852073339152902,900,10.863381175837793,< 0.001
Temperature,region,N Confluence - W Confluence,0.3374700496413159,0.16145905960477747,900,2.0901276798426887,0.7414
Temperature,region,N Confluence - D SouthCentral,-1.3320939098268014,0.14160896301614184,900,-9.406847430094928,< 0.001
Temperature,region,N Confluence - N SouthCentral,-0.6633691861472593,0.155124846777711,900,-4.276356753459659,0.002
Temperature,region,N Confluence - W SouthCentral,-0.3882337738370182,0.1614590596047777,900,-2.4045338476970173,0.512
Temperature,region,N Confluence - D North,-0.14856087908661064,0.1416089630161419,900,-1.0490923450211007,0.9994
Temperature,region,N Confluence - N North,0.7757774073567424,0.155124846777711,900,5.000987420592956,< 0.001
Temperature,region,N Confluence - W North,1.4136497425419596,0.16145905960477722,900,8.755468699014601,< 0.001
Temperature,region,W Confluence - D SouthCentral,-1.6695639594681173,0.14852073339152932,900,-11.24128545114859,< 0.001
Temperature,region,W Confluence - N SouthCentral,-1.0008392357885751,0.16145905960477752,900,-6.198718351503149,< 0.001
Temperature,region,W Confluence - W SouthCentral,-0.7257038234783341,0.16755398464109925,900,-4.33116422168528,0.0016
Temperature,region,W Confluence - D North,-0.4860309287279265,0.14852073339152913,900,-3.2724786474535903,0.0738
Temperature,region,W Confluence - N North,0.4383073577154265,0.1614590596047775,900,2.7146656173293926,0.2975
Temperature,region,W Confluence - W North,1.0761796929006437,0.16755398464109908,900,6.422883318506704,< 0.001
Temperature,region,D SouthCentral - N SouthCentral,0.668724723679542,0.1416089630161418,900,4.722333314476113,< 0.001
Temperature,region,D SouthCentral - W SouthCentral,0.9438601359897831,0.1485207333915299,900,6.355073224029819,< 0.001
Temperature,region,D SouthCentral - D North,1.1835330307401908,0.1266589070109386,900,9.344254254759814,< 0.001
Temperature,region,D SouthCentral - N North,2.1078713171835437,0.14160896301614184,900,14.885154670211588,< 0.001
Temperature,region,D SouthCentral - W North,2.745743652368761,0.14852073339152932,900,18.487275073780108,< 0.001
Temperature,region,N SouthCentral - W SouthCentral,0.27513541231024113,0.16145905960477774,900,1.7040568239634388,0.9318
Temperature,region,N SouthCentral - D North,0.5148083070606486,0.14160896301614184,900,3.635421770597714,0.0231
Temperature,region,N SouthCentral - N North,1.4391465935040018,0.155124846777711,900,9.277344174052615,< 0.001
Temperature,region,N SouthCentral - W North,2.077018928689219,0.1614590596047774,900,12.864059370675054,< 0.001
Temperature,region,W SouthCentral - D North,0.2396728947504075,0.14852073339152957,900,1.6137335796651575,0.9556
Temperature,region,W SouthCentral - N North,1.1640111811937606,0.16145905960477755,900,7.209327144869099,< 0.001
Temperature,region,W SouthCentral - W North,1.801883516378978,0.16755398464109916,900,10.754047540191984,< 0.001
Temperature,region,D North - N North,0.924338286443353,0.14160896301614168,900,6.52739958513777,< 0.001
Temperature,region,D North - W North,1.5622106216285703,0.14852073339152908,900,10.51846827008512,< 0.001
Temperature,region,N North - W North,0.6378723351852174,0.16145905960477744,900,3.9506754018425068,0.0073
Temperature,season,D Winter - N Winter,-0.18989016865467018,0.1266589070109379,900,-1.499224753599617,0.9408
Temperature,season,D Winter - W Winter,-0.05442933574671175,0.13357759706931022,900,-0.4074735355395686,1
Temperature,season,D Winter - D Spring,-6.14883077905079,0.11386206318624428,900,-54.00245355639782,< 0.001
Temperature,season,D Winter - N Spring,-5.57772496791046,0.12665890701093863,900,-44.03736854786495,< 0.001
Temperature,season,D Winter - W Spring,-4.714435393633411,0.13357783542836654,900,-35.2935453588901,< 0.001
Temperature,season,D Winter - D Summer,-11.724681437250744,0.11328717041291379,900,-103.49522716929144,< 0.001
Temperature,season,D Winter - N Summer,-11.446121824084205,0.12665890701093818,900,-90.36965574869302,< 0.001
Temperature,season,D Winter - W Summer,-11.125727480546969,0.13284098237263345,900,-83.75222225727065,< 0.001
Temperature,season,D Winter - D Fall,-8.256425019106898,0.11328717041291285,900,-72.88049466690363,< 0.001
Temperature,season,D Winter - N Fall,-7.383601882021452,0.12665890701093802,900,-58.2951649928877,< 0.001
Temperature,season,D Winter - W Fall,-7.231506053350352,0.13284098237263325,900,-54.43731237296333,< 0.001
Temperature,season,N Winter - W Winter,0.13546083290795843,0.14509124778515048,900,0.9336251150624009,0.9988
Temperature,season,N Winter - D Spring,-5.95894061039612,0.12717336662237513,900,-46.856828349055384,< 0.001
Temperature,season,N Winter - N Spring,-5.38783479925579,0.13874788095768018,900,-38.83183485086267,< 0.001
Temperature,season,N Winter - W Spring,-4.524545224978741,0.14509146722936025,900,-31.184088984546214,< 0.001
Temperature,season,N Winter - D Summer,-11.534791268596074,0.12665890701093854,900,-91.0697205653283,< 0.001
Temperature,season,N Winter - N Summer,-11.256231655429536,0.13874788095768048,900,-81.12723291869807,< 0.001
Temperature,season,N Winter - W Summer,-10.935837311892298,0.14441337314378877,900,-75.72593225839105,< 0.001
Temperature,season,N Winter - D Fall,-8.066534850452229,0.1266589070109382,900,-63.68707137000327,< 0.001
Temperature,season,N Winter - N Fall,-7.193711713366781,0.13874788095768062,900,-51.84736273962216,< 0.001
Temperature,season,N Winter - W Fall,-7.041615884695682,0.14441337314378896,900,-48.760137177077866,< 0.001
Temperature,season,W Winter - D Spring,-6.094401443304078,0.13407281803013343,900,-45.455906222052676,< 0.001
Temperature,season,W Winter - N Spring,-5.523295632163749,0.14509124778515015,900,-38.06773817496281,< 0.001
Temperature,season,W Winter - W Spring,-4.660006057886699,0.1511521374318334,900,-30.82990513440982,< 0.001
Temperature,season,W Winter - D Summer,-11.670252101504031,0.13357759706930986,900,-87.36683663689989,< 0.001
Temperature,season,W Winter - N Summer,-11.391692488337494,0.1450912477851507,900,-78.51398800571465,< 0.001
Temperature,season,W Winter - W Summer,-11.071298144800256,0.1505181652039787,900,-73.55456485798037,< 0.001
Temperature,season,W Winter - D Fall,-8.201995683360186,0.1335775970693099,900,-61.402479632152584,< 0.001
Temperature,season,W Winter - N Fall,-7.32917254627474,0.1450912477851509,900,-50.51422920511151,< 0.001
Temperature,season,W Winter - W Fall,-7.177076717603641,0.1505181652039792,900,-47.68246216579514,< 0.001
Temperature,season,D Spring - N Spring,0.57110581114033,0.12717336662237447,900,4.490765844362349,< 0.001
Temperature,season,D Spring - W Spring,1.434395385417379,0.13404302808774773,900,10.701007026478019,< 0.001
Temperature,season,D Spring - D Summer,-5.575850658199953,0.11386206318624348,900,-48.97022328744885,< 0.001
Temperature,season,D Spring - N Summer,-5.297291045033416,0.12717336662237522,900,-41.65409146368699,< 0.001
Temperature,season,D Spring - W Summer,-4.976896701496178,0.13333159059498859,900,-37.32721314796375,< 0.001
Temperature,season,D Spring - D Fall,-2.107594240056108,0.11386206318624327,900,-18.510065434250325,< 0.001
Temperature,season,D Spring - N Fall,-1.2347711029706614,0.12717336662237536,900,-9.70935295467291,< 0.001
Temperature,season,D Spring - W Fall,-1.0826752742995622,0.13333159059498878,900,-8.12017069224294,< 0.001
Temperature,season,N Spring - W Spring,0.863289574277049,0.14509146722936084,900,5.949967911706064,< 0.001
Temperature,season,N Spring - D Summer,-6.146956469340283,0.12665890701093838,900,-48.53157677106299,< 0.001
Temperature,season,N Spring - N Summer,-5.868396856173746,0.13874788095768026,900,-42.29539806783554,< 0.001
Temperature,season,N Spring - W Summer,-5.548002512636508,0.1444133731437886,900,-38.417512117195045,< 0.001
Temperature,season,N Spring - D Fall,-2.678700051196438,0.12665890701093807,900,-21.148927575737797,< 0.001
Temperature,season,N Spring - N Fall,-1.8058769141109916,0.13874788095768026,900,-13.015527888759651,< 0.001
Temperature,season,N Spring - W Fall,-1.6537810854398922,0.14441337314378874,900,-11.45171703588188,< 0.001
Temperature,season,W Spring - D Summer,-7.010246043617332,0.13357783542836565,900,-52.480608187252344,< 0.001
Temperature,season,W Spring - N Summer,-6.731686430450795,0.14509146722936034,900,-46.39615656935467,< 0.001
Temperature,season,W Spring - W Summer,-6.411292086913557,0.15051837673616203,900,-42.59474640861739,< 0.001
Temperature,season,W Spring - D Fall,-3.541989625473487,0.1335778354283652,900,-26.51629751384148,< 0.001
Temperature,season,W Spring - N Fall,-2.6691664883880404,0.14509146722936025,900,-18.39644011710646,< 0.001
Temperature,season,W Spring - W Fall,-2.5170706597169414,0.15051837673616206,900,-16.7226800759951,< 0.001
Temperature,season,D Summer - N Summer,0.2785596131665378,0.12665890701093838,900,2.199289570235129,0.5506
Temperature,season,D Summer - W Summer,0.5989539567037757,0.132840982372633,900,4.508804030247582,< 0.001
Temperature,season,D Summer - D Fall,3.4682564181438456,0.11328717041291331,900,30.614732502388534,< 0.001
Temperature,season,D Summer - N Fall,4.341079555229292,0.1266589070109386,900,34.27378032604043,< 0.001
Temperature,season,D Summer - W Fall,4.493175383900391,0.13284098237263334,900,33.823713914554986,< 0.001
Temperature,season,N Summer - W Summer,0.3203943435372379,0.1444133731437888,900,2.2185919251275243,0.5364
Temperature,season,N Summer - D Fall,3.1896968049773076,0.12665890701093824,900,25.183359625090134,< 0.001
Temperature,season,N Summer - N Fall,4.062519942062754,0.13874788095768043,900,29.279870179075857,< 0.001
Temperature,season,N Summer - W Fall,4.214615770733853,0.14441337314378883,900,29.18438700644063,< 0.001
Temperature,season,W Summer - D Fall,2.86930246144007,0.13284098237263273,900,21.59952757193092,< 0.001
Temperature,season,W Summer - N Fall,3.742125598525516,0.14441337314378885,900,25.912597407440746,< 0.001
Temperature,season,W Summer - W Fall,3.8942214271966153,0.14986483982338134,900,25.984890330420612,< 0.001
Temperature,season,D Fall - N Fall,0.8728231370854463,0.12665890701093824,900,6.891131130715264,< 0.001
Temperature,season,D Fall - W Fall,1.0249189657565456,0.13284098237263298,900,7.715382312376611,< 0.001
Temperature,season,N Fall - W Fall,0.1520958286710993,0.1444133731437889,900,1.0531976738723579,0.9963
Salinity,region,D Suisun Marsh - N Suisun Marsh,0.5684276417422481,0.08772357194874475,900,6.4797594205850375,< 0.001
Salinity,region,D Suisun Marsh - W Suisun Marsh,1.3406176302463595,0.09322435739326759,900,14.38055104623521,< 0.001
Salinity,region,D Suisun Marsh - D Suisun Bay,-0.5982918430078373,0.07856107555512833,900,-7.615626934587989,< 0.001
Salinity,region,D Suisun Marsh - N Suisun Bay,0.14042145207416298,0.0877235719487455,900,1.6007265659018926,0.9585
Salinity,region,D Suisun Marsh - W Suisun Bay,0.8021318051554615,0.09196312476738128,900,8.722320029734053,< 0.001
Salinity,region,D Suisun Marsh - D Confluence,1.3518711438411248,0.0785610755551287,900,17.20790015015102,< 0.001
Salinity,region,D Suisun Marsh - N Confluence,2.3196619632992213,0.08772357194874578,900,26.442858079861697,< 0.001
Salinity,region,D Suisun Marsh - W Confluence,2.993736277319805,0.0919631247673818,900,32.553659794535896,< 0.001
Salinity,region,D Suisun Marsh - D SouthCentral,3.0103430445895913,0.07856107555512862,900,38.31850599444944,< 0.001
Salinity,region,D Suisun Marsh - N SouthCentral,3.3916499279322863,0.08772357194874573,900,38.662925512357454,< 0.001
Salinity,region,D Suisun Marsh - W SouthCentral,3.5588405784896207,0.09196312476738165,900,38.698560836113565,< 0.001
Salinity,region,D Suisun Marsh - D North,4.053504209940866,0.07856107555512871,900,51.596852274462535,< 0.001
Salinity,region,D Suisun Marsh - N North,4.151421943257007,0.0877235719487456,900,47.323904522293795,< 0.001
Salinity,region,D Suisun Marsh - W North,4.259904474222656,0.09196312476738144,900,46.32187613239529,< 0.001
Salinity,region,N Suisun Marsh - W Suisun Marsh,0.7721899885041115,0.10069410614478372,900,7.668671167246003,< 0.001
Salinity,region,N Suisun Marsh - D Suisun Bay,-1.1667194847500855,0.0872806531560175,900,-13.36744676583171,< 0.001
Salinity,region,N Suisun Marsh - N Suisun Bay,-0.4280061896680851,0.09561116513467142,900,-4.476529378814959,< 0.001
Salinity,region,N Suisun Marsh - W Suisun Bay,0.23370416341321337,0.09951525581509303,900,2.3484254901324237,0.5543
Salinity,region,N Suisun Marsh - D Confluence,0.7834435020988766,0.08728065315601764,900,8.976141604926353,< 0.001
Salinity,region,N Suisun Marsh - N Confluence,1.7512343215569732,0.09561116513467127,900,18.316211491516768,< 0.001
Salinity,region,N Suisun Marsh - W Confluence,2.425308635577557,0.09951525581509278,900,24.371224449083186,< 0.001
Salinity,region,N Suisun Marsh - D SouthCentral,2.4419154028473433,0.08728065315601771,900,27.97773979168465,< 0.001
Salinity,region,N Suisun Marsh - N SouthCentral,2.8232222861900382,0.09561116513467119,900,29.528165274562287,< 0.001
Salinity,region,N Suisun Marsh - W SouthCentral,2.990412936747372,0.09951525581509306,900,30.04979399644802,< 0.001
Salinity,region,N Suisun Marsh - D North,3.4850765681986173,0.08728065315601767,900,39.92954271284958,< 0.001
Salinity,region,N Suisun Marsh - N North,3.582994301514759,0.09561116513467112,900,37.47464322255677,< 0.001
Salinity,region,N Suisun Marsh - W North,3.6914768324804084,0.09951525581509275,900,37.09458215471471,< 0.001
Salinity,region,W Suisun Marsh - D Suisun Bay,-1.938909473254197,0.09282090566908305,900,-20.888715309098867,< 0.001
Salinity,region,W Suisun Marsh - N Suisun Bay,-1.2001961781721966,0.10069410614478443,900,-11.919229676128985,< 0.001
Salinity,region,W Suisun Marsh - W Suisun Bay,-0.538485825090898,0.10440830548299865,900,-5.157499900030295,< 0.001
Salinity,region,W Suisun Marsh - D Confluence,0.011253513594765212,0.0928209056690835,900,0.12123899797837781,1
Salinity,region,W Suisun Marsh - N Confluence,0.9790443330528618,0.10069410614478438,900,9.722955697577072,< 0.001
Salinity,region,W Suisun Marsh - W Confluence,1.6531186470734456,0.1044083054829985,900,15.833210197464933,< 0.001
Salinity,region,W Suisun Marsh - D SouthCentral,1.6697254143432319,0.0928209056690833,900,17.988678329599434,< 0.001
Salinity,region,W Suisun Marsh - N SouthCentral,2.0510322976859268,0.10069410614478429,900,20.36894090640046,< 0.001
Salinity,region,W Suisun Marsh - W SouthCentral,2.218222948243261,0.10440830548299869,900,21.245656061379766,< 0.001
Salinity,region,W Suisun Marsh - D North,2.712886579694506,0.09282090566908333,900,29.227107407960908,< 0.001
Salinity,region,W Suisun Marsh - N North,2.8108043130106477,0.10069410614478418,900,27.914288339469447,< 0.001
Salinity,region,W Suisun Marsh - W North,2.919286843976297,0.10440830548299838,900,27.960293297276692,< 0.001
Salinity,region,D Suisun Bay - N Suisun Bay,0.7387132950820003,0.08728065315601832,900,8.4636545256085,< 0.001
Salinity,region,D Suisun Bay - W Suisun Bay,1.4004236481632988,0.09154072130410199,900,15.298368072838695,< 0.001
Salinity,region,D Suisun Bay - D Confluence,1.950162986848962,0.07806618943097535,900,24.980891229144206,< 0.001
Salinity,region,D Suisun Bay - N Confluence,2.9179538063070587,0.0872806531560181,900,33.431851169709795,< 0.001
Salinity,region,D Suisun Bay - W Confluence,3.5920281203276425,0.09154072130410189,900,39.23967464047813,< 0.001
Salinity,region,D Suisun Bay - D SouthCentral,3.608634887597429,0.07806618943097533,900,46.22532384250824,< 0.001
Salinity,region,D Suisun Bay - N SouthCentral,3.9899417709401237,0.08728065315601811,900,45.7139311710686,< 0.001
Salinity,region,D Suisun Bay - W SouthCentral,4.157132421497458,0.09154072130410212,900,45.41293057640751,< 0.001
Salinity,region,D Suisun Bay - D North,4.651796052948702,0.07806618943097528,900,59.58784573521085,< 0.001
Salinity,region,D Suisun Bay - N North,4.749713786264844,0.08728065315601807,900,54.41886162073648,< 0.001
Salinity,region,D Suisun Bay - W North,4.858196317230494,0.09154072130410194,900,53.07142272881345,< 0.001
Salinity,region,N Suisun Bay - W Suisun Bay,0.6617103530812984,0.09951525581509361,900,6.649335799435647,< 0.001
Salinity,region,N Suisun Bay - D Confluence,1.2114496917669617,0.0872806531560185,900,13.879933845149338,< 0.001
Salinity,region,N Suisun Bay - N Confluence,2.1792405112250584,0.09561116513467124,900,22.79274087033174,< 0.001
Salinity,region,N Suisun Bay - W Confluence,2.853314825245642,0.09951525581509364,900,28.672134758386214,< 0.001
Salinity,region,N Suisun Bay - D SouthCentral,2.8699215925154284,0.08728065315601859,900,32.88153203190744,< 0.001
Salinity,region,N Suisun Bay - N SouthCentral,3.2512284758581234,0.09561116513467129,900,34.00469465337722,< 0.001
Salinity,region,N Suisun Bay - W SouthCentral,3.4184191264154573,0.09951525581509375,900,34.350704305751044,< 0.001
Salinity,region,N Suisun Bay - D North,3.9130827578667025,0.0872806531560185,900,44.833334953072274,< 0.001
Salinity,region,N Suisun Bay - N North,4.011000491182844,0.09561116513467124,900,41.95117260137168,< 0.001
Salinity,region,N Suisun Bay - W North,4.1194830221484935,0.09951525581509359,900,41.395492464017636,< 0.001
Salinity,region,W Suisun Bay - D Confluence,0.5497393386856633,0.09154072130410201,900,6.005407548181828,< 0.001
Salinity,region,W Suisun Bay - N Confluence,1.51753015814376,0.09951525581509356,900,15.249221294908182,< 0.001
Salinity,region,W Suisun Bay - W Confluence,2.1916044721643435,0.10327186151840968,900,21.221700083073053,< 0.001
Salinity,region,W Suisun Bay - D SouthCentral,2.20821123943413,0.09154072130410218,900,24.122720555132595,< 0.001
Salinity,region,W Suisun Bay - N SouthCentral,2.5895181227768247,0.09951525581509356,900,26.021318053870395,< 0.001
Salinity,region,W Suisun Bay - W SouthCentral,2.756708773334159,0.1032718615184098,900,26.69370661864881,< 0.001
Salinity,region,W Suisun Bay - D North,3.251372404785404,0.09154072130410204,900,35.518317514499486,< 0.001
Salinity,region,W Suisun Bay - N North,3.3492901381015456,0.09951525581509352,900,33.65604711226153,< 0.001
Salinity,region,W Suisun Bay - W North,3.457772669067195,0.10327186151840963,900,33.48223434948734,< 0.001
Salinity,region,D Confluence - N Confluence,0.9677908194580965,0.08728065315601824,900,11.08826279895185,< 0.001
Salinity,region,D Confluence - W Confluence,1.6418651334786802,0.09154072130410174,900,17.935899019457604,< 0.001
Salinity,region,D Confluence - D SouthCentral,1.6584719007484667,0.07806618943097542,900,21.24443261336401,< 0.001
Salinity,region,D Confluence - N SouthCentral,2.0397787840911614,0.08728065315601838,900,23.370342800310606,< 0.001
Salinity,region,D Confluence - W SouthCentral,2.206969434648496,0.09154072130410229,900,24.109154955386977,< 0.001
Salinity,region,D Confluence - D North,2.7016330660997405,0.0780661894309755,900,34.60695450606652,< 0.001
Salinity,region,D Confluence - N North,2.7995507994158824,0.08728065315601832,900,32.07527324997846,< 0.001
Salinity,region,D Confluence - W North,2.9080333303815316,0.09154072130410192,900,31.767647107792925,< 0.001
Salinity,region,N Confluence - W Confluence,0.6740743140205837,0.09951525581509353,900,6.773577664042406,< 0.001
Salinity,region,N Confluence - D SouthCentral,0.6906810812903701,0.08728065315601838,900,7.913335387806326,< 0.001
Salinity,region,N Confluence - N SouthCentral,1.071987964633065,0.09561116513467122,900,11.2119537830455,< 0.001
Salinity,region,N Confluence - W SouthCentral,1.2391786151903992,0.09951525581509371,900,12.45214721140726,< 0.001
Salinity,region,N Confluence - D North,1.733842246641644,0.08728065315601836,900,19.86513830897115,< 0.001
Salinity,region,N Confluence - N North,1.831759979957786,0.0956111651346712,900,19.158431731039958,< 0.001
